Date,COT_Open_Interest,COT_NonComm_Long,COT_NonComm_Short,COT_NetSpec
2013-05-21,847211,161137,99204,61933
2013-05-28,691958,168520,113317,55203
2013-06-04,659936,168309,103455,64854
2013-06-11,677874,170550,110323,60227
2013-06-18,689311,162529,119185,43344
2013-06-25,694750,158161,125292,32869
2013-07-02,776879,160905,129616,31289
2013-07-09,808703,163861,136016,27845
2013-07-16,823667,162437,121305,41132
2013-07-23,830568,170353,112575,57778
2013-07-30,723932,167118,115255,51863
2013-08-06,738021,164632,91737,72895
2013-08-13,731908,161748,79465,82283
2013-08-20,747070,174592,71695,102897
2013-08-27,723116,180516,54299,126217
2013-09-03,739479,180877,53214,127663
2013-09-10,721444,162857,52192,110665
2013-09-17,738604,154668,60839,93829
2013-09-24,729363,155399,55450,99949
2013-10-01,689447,154713,57211,97502
2013-10-08,687618,154595,44554,110041
2013-10-15,715953,151803,67691,84112
2013-10-22,715600,163418,54968,108450
2013-10-29,695510,167538,38962,128576
2013-11-05,695794,161418,45159,116259
2013-11-12,724276,157152,72449,84703
2013-11-19,724803,154682,82842,71840
2013-11-26,636307,151118,98891,52227
2013-12-03,641036,151150,102614,48536
2013-12-10,629838,152770,95868,56902
2013-12-17,656536,152056,97530,54526
2013-12-24,667491,151256,96669,54587
2013-12-31,628586,152452,94136,58316
2014-01-07,630115,156270,89792,66478
2014-01-14,664721,162705,91741,70964
2014-01-21,663764,162253,89976,72277
2014-01-28,608056,167696,77419,90277
2014-02-04,602247,165286,76912,88374
2014-02-11,617237,177365,78375,98990
2014-02-18,657075,190511,70826,119685
2014-02-25,637838,193673,52359,141314
2014-03-04,656664,193754,46415,147339
2014-03-11,684249,193209,40942,152267
2014-03-18,711980,202885,30681,172204
2014-03-25,675535,184632,39101,145531
2014-04-01,607938,174189,47068,127121
2014-04-08,614585,168495,47610,120885
2014-04-15,628029,165879,52321,113558
2014-04-22,632178,162997,52339,110658
2014-04-29,621734,165365,53270,112095
2014-05-06,651381,181195,54048,127147
2014-05-13,641801,176007,56930,119077
2014-05-20,637142,172356,55274,117082
2014-05-27,610131,172072,79362,92710
2014-06-03,604437,170545,93650,76895
2014-06-10,598946,170102,94129,75973
2014-06-17,601503,173620,78966,94654
2014-06-24,639293,203131,56892,146239
2014-07-01,632177,218090,49785,168305
2014-07-08,638504,218022,47931,170091
2014-07-15,639522,212149,51976,160173
2014-07-22,643364,212653,45957,166696
2014-07-29,575402,203355,48582,154773
2014-08-05,563036,188772,54898,133874
2014-08-12,581490,209214,43254,165960
2014-08-19,574443,197830,45013,152817
2014-08-26,552454,184158,58526,125632
2014-09-02,568103,181250,75426,105824
2014-09-09,600722,185347,83063,102284
2014-09-16,625164,177225,94564,82661
2014-09-23,644637,174503,103747,70756
2014-09-30,610095,172206,105123,67083
2014-10-07,619593,172662,105694,66968
2014-10-14,641301,191574,104214,87360
2014-10-21,669147,204257,92978,111279
2014-10-28,641605,196373,91852,104521
2014-11-04,691425,174202,112963,61239
2014-11-11,735438,172113,117357,54756
2014-11-18,755453,184157,99280,84877
2014-11-25,595199,180186,88707,91479
2014-12-02,578664,184614,79863,104751
2014-12-09,598203,203156,67572,135584
2014-12-16,595431,196636,60261,136375
2014-12-23,570538,191976,66778,125198
2014-12-30,569339,195001,63858,131143
2015-01-06,597165,200644,62280,138364
2015-01-13,607853,207989,59438,148551
2015-01-20,700698,248222,59521,188701
2015-01-27,656429,262284,51047,211237
2015-02-03,639243,248259,45162,203097
2015-02-10,609302,219168,46183,172985
2015-02-17,602502,204772,58181,146591
2015-02-24,592890,199755,60890,138865
2015-03-03,598983,195193,66681,128512
2015-03-10,630766,187299,90070,97229
2015-03-17,667988,178442,108642,69800
2015-03-24,667089,184532,110275,74257
2015-03-31,572616,180115,91489,88626
2015-04-07,579573,191667,80720,110947
2015-04-14,586197,193390,84642,108748
2015-04-21,592646,194116,81862,112254
2015-04-28,592531,197331,87428,109903
2015-05-05,598100,177256,98175,79081
2015-05-12,601344,182713,99980,82733
2015-05-19,628414,208057,77807,130250
2015-05-26,567268,196803,85674,111129
2015-06-02,559404,199625,87987,111638
2015-06-09,572475,189785,110403,79382
2015-06-16,587957,195521,113908,81613
2015-06-23,602869,207208,108452,98756
2015-06-30,607373,196075,126302,69773
2015-07-07,624457,192522,141912,50610
2015-07-14,636436,189648,140664,48984
2015-07-21,688184,183702,160134,23568
2015-07-28,630687,180959,157081,23878
2015-08-04,635992,181234,153587,27647
2015-08-11,634115,185017,152714,32303
2015-08-18,636582,185116,140043,45073
2015-08-25,661565,193405,116687,76718
2015-09-01,608673,185395,107622,77773
2015-09-08,616676,181817,122008,59809
2015-09-15,609014,168892,132801,36091
2015-09-22,611945,180716,121353,59363
2015-09-29,600090,184378,105632,78746
2015-10-06,625986,193998,101178,92820
2015-10-13,641353,206492,79959,126533
2015-10-20,686201,233132,70332,162800
2015-10-27,652091,225777,63049,162728
2015-11-03,631868,190149,76498,113651
2015-11-10,639510,167232,102456,64776
2015-11-17,656475,165084,136121,28963
2015-11-24,535410,162092,141849,20243
2015-12-01,536215,160479,147438,13041
2015-12-08,542365,164658,140161,24497
2015-12-15,553569,159955,139642,20313
2015-12-22,561090,155933,123749,32184
2015-12-29,539984,152028,128717,23311
2016-01-05,552648,154764,124177,30587
2016-01-12,551508,160944,112697,48247
2016-01-19,567155,159793,112721,47072
2016-01-26,530273,178509,109778,68731
2016-02-02,537133,184321,100456,83865
2016-02-09,643820,219947,94561,125386
2016-02-16,697444,225098,76472,148626
2016-02-23,733879,246402,67423,178979
2016-03-01,701954,248418,64802,183616
2016-03-08,788410,280680,67823,212857
2016-03-15,761637,266517,63095,203422
2016-03-22,782861,279345,63004,216341
2016-03-29,689723,278105,63991,214114
2016-04-05,685591,277700,64352,213348
2016-04-12,743572,306027,63303,242724
2016-04-19,735270,308286,62718,245568
2016-04-26,703778,302990,59647,243343
2016-05-03,816948,356491,56595,299896
2016-05-10,819565,353084,59675,293409
2016-05-17,847879,358956,60305,298651
2016-05-24,776500,303550,69475,234075
2016-05-31,679932,281904,66267,215637
2016-06-07,701199,309440,58763,250677
2016-06-14,794622,366698,60658,306040
2016-06-21,815220,371148,54623,316525
2016-06-28,854547,391712,61929,329783
2016-07-05,946255,414837,67092,347745
2016-07-12,910785,394636,65368,329268
2016-07-19,890097,381682,62894,318788
2016-07-26,798270,361784,56279,305505
2016-08-02,845903,385069,58805,326264
2016-08-09,823554,371220,58499,312721
2016-08-16,837871,367975,55537,312438
2016-08-23,832258,373298,50599,322699
2016-08-30,779556,349497,57789,291708
2016-09-06,831338,387403,57280,330123
2016-09-13,806108,359951,57625,302326
2016-09-20,793177,332163,59508,272655
2016-09-27,792666,368769,57647,311122
2016-10-04,761990,329257,67611,261646
2016-10-11,731252,286209,75612,210597
2016-10-18,728151,275517,80622,194895
2016-10-25,736562,288565,76152,212413
2016-11-01,739201,296065,71158,224907
2016-11-08,748147,292443,69295,223148
2016-11-15,712406,241712,66974,174738
2016-11-22,634083,235809,77094,158715
2016-11-29,600844,223023,80317,142706
2016-12-06,608167,219675,92020,127655
2016-12-13,623974,219955,99779,120176
2016-12-20,647827,205182,101564,103618
2016-12-27,597450,198934,107749,91185
2017-01-03,616679,201488,111370,90118
2017-01-10,646101,210142,103616,106526
2017-01-17,689307,218615,111734,106881
2017-01-24,703456,208534,101210,107324
2017-01-31,578481,211867,92774,119093
2017-02-07,622522,218908,97539,121369
2017-02-14,627910,209869,99432,110437
2017-02-21,651490,221880,92627,129253
2017-02-28,656489,250708,82604,168104
2017-03-07,645146,226803,95302,131501
2017-03-14,643969,197853,100119,97734
2017-03-21,677776,223754,101618,122136
2017-03-28,645306,231300,87413,143887
2017-04-04,628054,241650,80467,161183
2017-04-11,681606,253798,76667,177131
2017-04-18,725021,277499,77156,200343
